2017 |  3.916 |  3.704
2016 |  3.499 |  3.405
2015 |  3.461 |  3.274
2014 |  3.331 |  3.098
2013 |  3.17  |  2.884
2012 |  4.654 |  4.259
2011 |  4.843 |  4.624
2010 |  5.549 |  5.199
2009 |  5.744 |  5.439
2008 |  6.762 |  6.328
2007 |  7.936 |  7.504
2006 |  7.800 |  7.35
2005 |  7.842 |  7.27
2004 |  6.045 |  5.54
2003 |  6.615 |  6.426
2002 | 11.374 |  9.187
2001 | 14.962 | 11.660
2000 | 14.860 | 11.610
1999 |N/A| 14.546
1998 |N/A| 18.090
1997 |N/A| 17.609
